frame_index,wall_time,elapsed_s,video_frame_index,fps,running,vehicle_state,event,stop_condition,lane_found,stop_line_detected,lane_error,solid_filter_angle_deg,solid_filter_kept_pixels,solid_filter_rejected_pixels,raw_steer,final_steer,final_speed,steering_pot,traffic_signal,car_detected,car_label,car_confidence,car_bbox,car_area_ratio,car_result_age_s,car_model_fault,ultrasonic_json,ultrasonic_age_json,front_sensor_values,front_distance_cm,sensor_ok,ultrasonic_close,fusion_confirmed,fusion_hits,fusion_skew_s,fusion_reason,obstacle_phase,dash_side,solid_side,locked_dash_side,lost_frames
341,2026-08-02T01:34:36.857+09:00,54.485,340,6.26,0,DRIVING,,0,1,0,-0.446523,,0,0,0.804504,0.804504,0,745,red,0,unknown,0.000000,null,0.000000,0.520,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.520,ultrasonic-not-close,KEEP_PAUSED,right,,,0
342,2026-08-02T01:34:36.963+09:00,54.593,341,6.27,0,DRIVING,,0,1,0,-0.446523,,0,0,0.804276,0.804276,0,745,red,0,unknown,0.000000,null,0.000000,0.406,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.406,ultrasonic-not-close,KEEP_PAUSED,right,,,0
343,2026-08-02T01:34:37.169+09:00,54.799,342,6.26,0,DRIVING,,0,1,0,-0.446523,,0,0,0.804116,0.804116,0,745,red,0,unknown,0.000000,null,0.000000,0.612,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.612,ultrasonic-not-close,KEEP_PAUSED,right,,,0
344,2026-08-02T01:34:37.279+09:00,54.908,343,6.27,0,DRIVING,,0,1,0,-0.446523,,0,0,0.804004,0.804004,0,745,red,0,unknown,0.000000,null,0.000000,0.387,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.387,ultrasonic-not-close,KEEP_PAUSED,right,,,0
345,2026-08-02T01:34:37.388+09:00,55.017,344,6.27,0,DRIVING,,0,1,0,-0.446523,,0,0,0.803925,0.803925,0,745,red,0,unknown,0.000000,null,0.000000,0.388,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.388,ultrasonic-not-close,KEEP_PAUSED,right,,,0
346,2026-08-02T01:34:37.610+09:00,55.241,345,6.27,0,DRIVING,,0,1,0,-0.446523,,0,0,0.803870,0.803870,0,745,red,0,unknown,0.000000,null,0.000000,0.611,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.611,ultrasonic-not-close,KEEP_PAUSED,right,,,0
347,2026-08-02T01:34:37.768+09:00,55.398,346,6.27,0,DRIVING,,0,1,0,-0.446523,,0,0,0.803832,0.803832,0,745,red,0,unknown,0.000000,null,0.000000,0.456,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.456,ultrasonic-not-close,KEEP_PAUSED,right,,,0
348,2026-08-02T01:34:37.868+09:00,55.498,347,6.27,0,DRIVING,,0,1,0,-0.446523,,0,0,0.803805,0.803805,0,746,red,0,unknown,0.000000,null,0.000000,0.446,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.446,ultrasonic-not-close,KEEP_PAUSED,right,,,0
349,2026-08-02T01:34:38.085+09:00,55.713,348,6.27,0,DRIVING,,0,1,0,-0.446523,,0,0,0.803786,0.803786,0,745,red,0,unknown,0.000000,null,0.000000,0.281,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.281,ultrasonic-not-close,KEEP_PAUSED,right,,,0
350,2026-08-02T01:34:38.256+09:00,55.885,349,6.26,0,DRIVING,,0,1,0,-0.446523,,0,0,0.803773,0.803773,0,745,red,0,unknown,0.000000,null,0.000000,0.453,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.453,ultrasonic-not-close,KEEP_PAUSED,right,,,0
