frame_index,wall_time,elapsed_s,video_frame_index,fps,running,vehicle_state,event,stop_condition,lane_found,stop_line_detected,lane_error,raw_steer,final_steer,final_speed,steering_pot,traffic_signal,car_detected,car_label,car_confidence,car_bbox,car_area_ratio,car_result_age_s,car_model_fault,ultrasonic_json,ultrasonic_age_json,front_sensor_values,front_distance_cm,sensor_ok,ultrasonic_close,fusion_confirmed,fusion_hits,fusion_skew_s,fusion_reason,obstacle_phase,dash_side,solid_side,locked_dash_side,lost_frames
1675,2026-08-01T16:20:24.635+09:00,194.024,1674,8.63,0,STOPPED_RED,,1,1,1,-0.007090,0.000000,0.000000,0,745,green,0,unknown,0.000000,null,0.000000,0.325,,"{""0"": 193, ""1"": 197, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 193, ""1"": 197}",193,1,0,0,0,0.325,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
1676,2026-08-01T16:20:24.751+09:00,194.140,1675,8.63,0,STOPPED_RED,,1,1,1,-0.007090,0.000000,0.000000,0,744,green,0,unknown,0.000000,null,0.000000,0.319,,"{""0"": 194, ""1"": 196, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 194, ""1"": 196}",194,1,0,0,0,0.319,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
1677,2026-08-01T16:20:24.864+09:00,194.253,1676,8.63,0,STOPPED_RED,,1,1,1,-0.007090,0.000000,0.000000,0,744,green,0,unknown,0.000000,null,0.000000,0.195,,"{""0"": 194, ""1"": 197, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 194, ""1"": 197}",194,1,0,0,0,0.195,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
1678,2026-08-01T16:20:24.977+09:00,194.366,1677,8.63,0,STOPPED_RED,,1,1,1,-0.007090,0.000000,0.000000,0,745,green,0,unknown,0.000000,null,0.000000,0.307,,"{""0"": 193, ""1"": 197, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 193, ""1"": 197}",193,1,0,0,0,0.307,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
1679,2026-08-01T16:20:25.085+09:00,194.474,1678,8.63,0,STOPPED_RED,,1,1,1,-0.007090,0.000000,0.000000,0,745,green,0,unknown,0.000000,null,0.000000,0.301,,"{""0"": 193, ""1"": 197, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 193, ""1"": 197}",193,1,0,0,0,0.301,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
1680,2026-08-01T16:20:25.191+09:00,194.581,1679,8.63,0,STOPPED_RED,,1,1,1,-0.007090,0.000000,0.000000,0,744,green,0,unknown,0.000000,null,0.000000,0.295,,"{""0"": 193, ""1"": 198, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 193, ""1"": 198}",193,1,0,0,0,0.295,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
1681,2026-08-01T16:20:25.313+09:00,194.702,1680,8.63,0,STOPPED_RED,,1,1,1,-0.007090,0.000000,0.000000,0,745,green,0,unknown,0.000000,null,0.000000,0.415,,"{""0"": 194, ""1"": 198, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 194, ""1"": 198}",194,1,0,0,0,0.415,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
1682,2026-08-01T16:20:25.423+09:00,194.812,1681,8.63,0,STOPPED_RED,,1,1,1,-0.007090,0.000000,0.000000,0,745,green,0,unknown,0.000000,null,0.000000,0.304,,"{""0"": 194, ""1"": 196, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 194, ""1"": 196}",194,1,0,0,0,0.304,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
1683,2026-08-01T16:20:25.532+09:00,194.922,1682,8.63,0,STOPPED_RED,,1,1,1,-0.007090,0.000000,0.000000,0,745,green,0,unknown,0.000000,null,0.000000,0.307,,"{""0"": 194, ""1"": 197, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 194, ""1"": 197}",194,1,0,0,0,0.307,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
1684,2026-08-01T16:20:25.649+09:00,195.038,1683,8.63,0,STOPPED_RED,,1,1,1,-0.007090,0.000000,0.000000,0,745,green,0,unknown,0.000000,null,0.000000,0.193,,"{""0"": 194, ""1"": 197, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 194, ""1"": 197}",194,1,0,0,0,0.193,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
