frame_index,wall_time,elapsed_s,video_frame_index,fps,running,vehicle_state,event,stop_condition,lane_found,traffic_mission_enabled,signal_stop_latched,avoidance_blocked_by_signal,stop_line_detected,lane_error,solid_filter_angle_deg,solid_filter_kept_pixels,solid_filter_rejected_pixels,raw_steer,final_steer,final_speed,steering_pot,traffic_signal,car_detected,car_label,car_confidence,car_bbox,car_area_ratio,car_result_age_s,car_model_fault,ultrasonic_json,ultrasonic_age_json,front_sensor_values,front_distance_cm,sensor_ok,ultrasonic_close,fusion_confirmed,fusion_hits,fusion_skew_s,fusion_reason,obstacle_phase,dash_side,solid_side,locked_dash_side,lost_frames
990,2026-08-02T02:11:39.725+09:00,165.907,989,5.97,0,DRIVING,,0,1,1,0,0,0,0.107264,-14.508,5837,0,-0.193076,-0.193076,0,741,unknown,0,unknown,0.000000,null,0.000000,0.406,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.406,ultrasonic-not-close,KEEP_PAUSED,right,left,,0
991,2026-08-02T02:11:39.894+09:00,166.077,990,5.97,0,DRIVING,,0,1,1,0,0,0,0.107264,-14.506,5814,0,-0.193076,-0.193076,0,741,unknown,0,unknown,0.000000,null,0.000000,0.309,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.309,ultrasonic-not-close,KEEP_PAUSED,right,left,,0
992,2026-08-02T02:11:40.098+09:00,166.280,991,5.97,0,DRIVING,,0,1,1,0,0,0,0.107264,-14.509,5806,0,-0.193076,-0.193076,0,741,unknown,0,unknown,0.000000,null,0.000000,0.337,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.337,ultrasonic-not-close,KEEP_PAUSED,right,left,,0
993,2026-08-02T02:11:40.344+09:00,166.527,992,5.96,0,DRIVING,,0,1,1,0,0,0,0.106908,-14.511,5744,0,-0.191791,-0.191791,0,741,unknown,0,unknown,0.000000,null,0.000000,0.413,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.413,ultrasonic-not-close,KEEP_PAUSED,right,left,,0
994,2026-08-02T02:11:40.557+09:00,166.739,993,5.96,0,DRIVING,,0,1,1,0,0,0,0.106551,-14.509,5755,0,-0.190699,-0.190699,0,742,unknown,0,unknown,0.000000,null,0.000000,0.422,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.422,ultrasonic-not-close,KEEP_PAUSED,right,left,,0
995,2026-08-02T02:11:40.796+09:00,166.978,994,5.96,0,DRIVING,,0,1,1,0,0,0,0.106551,-14.513,5710,0,-0.191027,-0.191027,0,741,unknown,0,unknown,0.000000,null,0.000000,0.417,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.417,ultrasonic-not-close,KEEP_PAUSED,right,left,,0
996,2026-08-02T02:11:41.005+09:00,167.187,995,5.96,0,DRIVING,,0,1,1,0,0,0,0.106908,-14.541,5730,0,-0.192541,-0.192541,0,742,unknown,0,unknown,0.000000,null,0.000000,0.625,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.625,ultrasonic-not-close,KEEP_PAUSED,right,left,,0
997,2026-08-02T02:11:41.211+09:00,167.393,996,5.96,0,DRIVING,,0,1,1,0,0,0,0.106551,-14.538,5726,0,-0.191224,-0.191224,0,742,unknown,0,unknown,0.000000,null,0.000000,0.617,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.617,ultrasonic-not-close,KEEP_PAUSED,right,left,,0
998,2026-08-02T02:11:41.360+09:00,167.542,997,5.96,0,DRIVING,,0,1,1,0,0,0,0.106551,-14.550,5716,0,-0.191394,-0.191394,0,741,unknown,0,unknown,0.000000,null,0.000000,0.529,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.529,ultrasonic-not-close,KEEP_PAUSED,right,left,,0
999,2026-08-02T02:11:41.501+09:00,167.682,998,5.96,0,DRIVING,,0,1,1,0,0,0,0.106551,-14.539,5755,0,-0.191513,-0.191513,0,741,unknown,0,unknown,0.000000,null,0.000000,0.458,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.458,ultrasonic-not-close,KEEP_PAUSED,right,left,,0
1000,2026-08-02T02:11:41.623+09:00,167.805,999,5.96,0,DRIVING,,0,1,1,0,0,0,0.107264,-14.534,5757,0,-0.194166,-0.194166,0,742,unknown,0,unknown,0.000000,null,0.000000,0.226,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.226,ultrasonic-not-close,KEEP_PAUSED,right,left,,0
1001,2026-08-02T02:11:41.752+09:00,167.934,1000,5.96,0,DRIVING,,0,1,1,0,0,0,0.106908,-14.539,5791,0,-0.192554,-0.192554,0,742,unknown,0,unknown,0.000000,null,0.000000,0.356,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.356,ultrasonic-not-close,KEEP_PAUSED,right,left,,0
